id;car_2020;car_2025;car_2030;car_2035;car_2040;car_2045;car_2050;bus_2020;bus_2025;bus_2030;bus_2035;bus_2040;bus_2045;bus_2050;train_2020;train_2025;train_2030;train_2035;train_2040;train_2045;train_2050
3728;0,058691604;0,076587322;0,126379612;0,110841847;0,101278803;0,074527994;0,104198074;0;0;0;0;0;0;0;0,169044749;0,190818725;0,182025861;0,18545273;0,189415582;0,178201761;0,185548475
3729;0,131685923;0,14484742;0,149981029;0,174530373;0,141482352;0,149460554;0,132927169;0;0;0;0;0;0;0;0,180102689;0,18440061;0,18843005;0,183660335;0,191526844;0,172758275;0,184261088
3730;0,106178082;0,123788168;0,095361424;0,106321833;0,099621755;0,11907051;0,086575087;0;0;0;0;0;0;0;0,181503854;0,192010055;0,188694887;0,186253745;0,190431583;0,179821284;0,187313643
3731;0,098370218;0,102493234;0,116388204;0,109810951;0,105631144;0,106806907;0,097822299;0;0;0;0;0;0;0;0,175017237;0,193838484;0,187424035;0,188084899;0,185894111;0,188226565;0,190595573
3732;0,110045188;0,109405805;0,106417467;0,117911064;0,130705217;0,101658518;0,111544561;0;0;0;0;0;0;0;0,179771914;0,192234889;0,186458478;0,191757572;0,184831982;0,176007307;0,188038815
3733;0,12524478;0,121138114;0,114322338;0,104289694;0,09869929;0,118146872;0,112564115;0;0;0;0;0;0;0;0,167249605;0,198366353;0,186387393;0,189325124;0,184739848;0,18240998;0,186458468
3734;0,110964672;0,115668934;0,116212337;0,122126012;0,115545885;0,125629042;0,12219196;0;0;0;0;0;0;0;0,160615424;0,182082078;0,184393447;0,187686073;0,184217873;0,185112659;0,184787269
3735;0,168542623;0,162395103;0,201433038;0,200796478;0,192176167;0,161663419;0,186662242;0;0;0;0;0;0;0;0,178437472;0,172952143;0,182843787;0,187451674;0,184301592;0,187322633;0,186124175
3736;0,210742738;0,221267285;0,268783117;0,250346437;0,242723732;0,218274549;0,242295195;0;0;0;0;0;0;0;0,180296201;0,172799758;0,184279957;0,18424687;0,185121023;0,193776284;0,184971394
3737;0,2442188;0,247824908;0,279022739;0,26257258;0,236287538;0,254509091;0,265082665;0;0;0;0;0;0;0;0,185130206;0,178913848;0,184020144;0,185029175;0,181344524;0,169463567;0,183933176
3738;0,286083558;0,299244511;0,301168168;0,27351072;0,25383977;0,278579033;0,278828254;0;0;0;0;0;0;0;0,174058463;0,191756185;0,186696641;0,183250808;0,179385245;0,17678918;0,180536663
3739;0,222250762;0,231541235;0,153269072;0,174078487;0,136268733;0,19808086;0,152247605;0;0;0;0;0;0;0;0,174213363;0,178940074;0,184171651;0,180718752;0,177839683;0,182532303;0,174709413
