index;middle_2020;east_2020;swest_2020;north_2020;middle_2025;east_2025;swest_2025;north_2025;middle_2030;east_2030;swest_2030;north_2030;middle_2035;east_2035;swest_2035;north_2035;middle_2040;east_2040;swest_2040;north_2040;middle_2045;east_2045;swest_2045;north_2045;middle_2050;east_2050;swest_2050;north_2050
3710;100,3855948;96,22759457;63,66333611;51,66690124;113,9418486;108,9117897;72,5214396;59,0256518;108,6848379;104,5438792;68,81690053;55,83930603;100,013976;96,12602401;63,07892575;51,04424961;158,1573963;153,5257001;99,86678068;80,72105535;151,7941444;147,2457217;95,77564101;77,41476871;151,7941444;147,2457217;95,77564101;77,41476871
3711;111,7506034;106,6328731;70,79037121;57,54572833;125,5192138;119,5090757;80,08454699;65,36367304;120,1755295;114,8131466;76,45296946;62,27245204;116,175006;110,7015311;73,7815607;60,02294084;174,8990494;169,4465362;110,0628081;88,83620602;175,4830752;169,9278586;110,7266696;89,54758046;175,4830752;169,9278586;110,7266696;89,54758046
3712;112,4047332;107,5037353;71,08502319;57,68899465;122,9304707;117,31971;78,52123764;64,04815019;111,2938086;106,2599531;70,91230874;57,71320326;112,2847576;107,4130081;71,09811815;57,71753176;151,9017201;147,5394514;95,22807413;76,70031162;163,0112105;158,182;102,6605807;82,8557112;163,0112105;158,182;102,6605807;82,8557112
3713;83,58692355;81,31793104;52,49775031;42,2045224;83,67395501;81,52683535;52,63609726;42,36237056;80,51301822;78,3207366;50,80876146;40,95500225;81,07764279;78,75422301;51,14469573;41,22884615;97,87472352;95,08209419;61,79778256;49,85411154;96,73489066;93,99279217;61,31201909;49,53932679;96,73489066;93,99279217;61,31201909;49,53932679
3714;95,65053802;92,79792273;60,38633714;48,71008169;96,73084284;94,18225695;60,95933255;49,11152398;96,17681982;93,7484248;60,73364588;48,95959661;91,28943709;88,45863656;57,72885236;46,58385549;100,519163;97,1185773;63,85019937;51,63519636;100,3897252;97,36111638;63,57332821;51,35531791;100,3897252;97,36111638;63,57332821;51,35531791
3715;184,1267756;179,8655999;115,9441571;93,32010827;183,1081164;179,4885237;114,9982981;92,39450075;173,8772729;169,802342;109,2811516;87,86337931;182,0342838;177,4435103;115,2379995;92,99844847;155,3803367;150,4807854;98,09284258;79,00023936;162,6876717;158,1423692;102,5599502;82,73798211;162,6876717;158,1423692;102,5599502;82,73798211
3716;227,410646;223,3617222;142,9412556;114,9187735;226,4867106;222,5322777;142,0643995;114,0508092;211,6388918;208,018353;132,7187985;106,5411794;218,9112268;214,7752893;137,6525208;110,5976977;175,2162867;170,7593001;110,1994864;88,5893714;175,2013545;170,8409174;109,9123909;88,31593958;175,2013545;170,8409174;109,9123909;88,31593958
3717;191,8565667;188,1027128;120,7008745;97,06994602;176,2514463;173,098182;110,4712059;88,64104246;183,3966021;180,3091407;115,2176661;92,58750911;178,3442531;175,546882;111,4855741;89,26982605;151,7134356;148,234144;95,2694522;76,49780662;149,9152222;146,2979204;94,33557616;75,86355678;149,9152222;146,2979204;94,33557616;75,86355678
3718;163,1303709;160,5496772;102,154757;81,95639346;157,9769659;155,467208;98,80005728;79,16546446;160,9110373;158,1595791;100,9439272;81,00205977;163,8911345;161,3457784;102,1770419;81,69041419;136,7809015;133,615713;85,86209768;68,98807771;128,5091841;125,8092116;80,57888916;64,6588202;128,5091841;125,8092116;80,57888916;64,6588202
3719;121,0214289;118,8963573;75,71238373;60,68208112;131,2077896;128,7340015;82,15588908;65,84865783;144,2783967;141,8907548;90,27881974;72,33846937;124,8890698;122,5583841;78,19567659;62,69697611;118,0645356;115,3030955;74,14313845;59,56621545;116,9495026;114,1469593;73,45828535;58,95178074;116,9495026;114,1469593;73,45828535;58,95178074
