;middle;north;east;swest
7209;63,95566594;39,44985444;69,05243413;48,23461278
7210;63,08527489;38,63267304;68,18285444;47,28321754
7211;59,02096237;36,08624758;63,80451962;44,17646809
7212;56,73169754;34,65387395;61,33789637;42,42858709
7213;56,12344402;34,13162879;60,71798634;41,81510304
7214;48,48906446;29,04026572;52,57090302;35,65511338
7215;47,91536487;28,45024448;52,01060505;34,97394006
7216;43,29236754;25,60799006;47,01684878;31,49717387
7217;46,8280248;28,44697118;50,66951517;34,85621974
7218;51,98025405;31,90173967;56,16305963;39,03315505
7219;52,22723263;31,67621617;56,52432285;38,82179329
7220;54,53136807;33,17651466;58,99229267;40,64271448
7221;58,18016839;35,17864848;62,99410313;43,13303685
7222;52,67176524;31,22502038;57,18589065;38,39371884
7223;39,83048669;22,20356355;43,59679549;27,55086344
7224;23,58810722;12,08578655;26,08480279;15,19690583
7225;15,8453973;7,627644958;17,64549431;9,691870004
7226;17,21003383;8,446314213;19,12466031;10,69677449
7227;15,83548356;7,582361715;17,64459659;9,643176542
7228;17,65528726;9,126455585;19,50387781;11,45928195
7229;31,39540061;17,06453665;34,47347635;21,25656553
7230;62,50194989;38,44990342;67,50871864;47,02958353
7231;78,07889999;51,3940147;83,49189408;62,28775846
7232;80,33712613;50,65413171;86,46405472;61,74651162
7233;63,95566594;39,44985444;69,05243413;48,23461278
7234;63,08527489;38,63267304;68,18285444;47,28321754
7235;59,02096237;36,08624758;63,80451962;44,17646809
7236;56,73169754;34,65387395;61,33789637;42,42858709
7237;56,12344402;34,13162879;60,71798634;41,81510304
7238;48,48906446;29,04026572;52,57090302;35,65511338
7239;47,91536487;28,45024448;52,01060505;34,97394006
7240;43,29236754;25,60799006;47,01684878;31,49717387
7241;46,8280248;28,44697118;50,66951517;34,85621974
7242;51,98025405;31,90173967;56,16305963;39,03315505
7243;52,22723263;31,67621617;56,52432285;38,82179329
7244;54,53136807;33,17651466;58,99229267;40,64271448
7245;58,18016839;35,17864848;62,99410313;43,13303685
7246;52,67176524;31,22502038;57,18589065;38,39371884
7247;39,83048669;22,20356355;43,59679549;27,55086344
7248;23,58810722;12,08578655;26,08480279;15,19690583
7249;15,8453973;7,627644958;17,64549431;9,691870004
7250;17,21003383;8,446314213;19,12466031;10,69677449
7251;15,83548356;7,582361715;17,64459659;9,643176542
7252;17,65528726;9,126455585;19,50387781;11,45928195
7253;31,39540061;17,06453665;34,47347635;21,25656553
7254;62,50194989;38,44990342;67,50871864;47,02958353
7255;78,07889999;51,3940147;83,49189408;62,28775846
7256;80,33712613;50,65413171;86,46405472;61,74651162
7257;63,95566594;39,44985444;69,05243413;48,23461278
7258;63,08527489;38,63267304;68,18285444;47,28321754
7259;59,02096237;36,08624758;63,80451962;44,17646809
7260;56,73169754;34,65387395;61,33789637;42,42858709
7261;56,12344402;34,13162879;60,71798634;41,81510304
7262;48,48906446;29,04026572;52,57090302;35,65511338
7263;47,91536487;28,45024448;52,01060505;34,97394006
7264;43,29236754;25,60799006;47,01684878;31,49717387
7265;46,8280248;28,44697118;50,66951517;34,85621974
7266;51,98025405;31,90173967;56,16305963;39,03315505
7267;52,22723263;31,67621617;56,52432285;38,82179329
7268;54,53136807;33,17651466;58,99229267;40,64271448
7269;58,18016839;35,17864848;62,99410313;43,13303685
7270;52,67176524;31,22502038;57,18589065;38,39371884
