index;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east
456;0;0;0;0
457;0;0;0;0
458;0;0;0;0
459;0;0;0;0
460;0;0;0;0
461;0;0;0;0
462;0;0;0;0
463;0;0;0;0
464;0;0;0,020124582;0
465;0;0,144163547;0,167043147;0
466;0,004365104;0,241097684;0,254897329;0,003753547
467;0,010733865;0,299650461;0,499558698;0,009524404
468;0,011553079;0,308335737;0,356274513;0,011756426
469;0,01033324;0,297981789;0,10143979;0,010330687
470;0,006198547;0,233809228;0,142354255;0,005854604
471;0,001530494;0,092984467;0,125173686;0,001550768
472;0;0,001278457;0,003892747;0
473;0;0;0;0
474;0;0;0;0
475;0;0;0;0
476;0;0;0;0
477;0;0;0;0
478;0;0;0;0
479;0;0;0;0
480;0;0;0;0
481;0;0;0;0
482;0;0;0;0
483;0;0;0;0
484;0;0;0;0
485;0;0;0;0
486;0;0;0;0
487;0;0;0;0
488;0;0;0;0
489;0,019545026;0,024026696;0,107228369;0,017358947
490;0,041386895;0,095886221;0,207938084;0,038742304
491;0,059450921;0,200666965;0,259602355;0,060298259
492;0,067422257;0,321959605;0,274601132;0,066925267
493;0,06212826;0,317808395;0,226936855;0,061293683
494;0,04356315;0,368824461;0,17865977;0,039441316
495;0,02073703;0,21224629;0,072796678;0,023007193
496;0,000959014;0,012058735;0,001678115;0,001894582
497;0;0;0;0
498;0;0;0;0
499;0;0;0;0
500;0;0;0;0
501;0;0;0;0
502;0;0;0;0
503;0;0;0;0
504;0;0;0;0
505;0;0;0;0
506;0;0;0;0
507;0;0;0;0
508;0;0;0;0
509;0;0;0;0
510;0;0;0;0
511;0;0;0;0
512;0;0;0;0
513;0;0,020920271;0,022379383;0
514;0,003822798;0,048181251;0,047257342;0,003650657
515;0,010057656;0,074618732;0,064118866;0,010283155
516;0,012966513;0,101484817;0,071095259;0,011938342
517;0,011738968;0,101466517;0,065148241;0,011400659
518;0,006936495;0,074135949;0,048287199;0,007075093
519;0,001773383;0,039357039;0,024429296;0,001887999
520;0;0,003145012;0,001565425;0
521;0;0;0;0
522;0;0;0;0
523;0;0;0;0
524;0;0;0;0
525;0;0;0;0
526;0;0;0;0
527;0;0;0;0
528;0;0;0;0
529;0;0;0;0
530;0;0;0;0
531;0;0;0;0
532;0;0;0;0
533;0;0;0;0
534;0;0;0;0
535;0;0;0;0
536;0;0;0;0
537;0,027368373;0;0;0,027670322
538;0,057401321;0,005180128;0,006789565;0,054357742
539;0,074064675;0,011084407;0,013822038;0,075665925
540;0,081819541;0,013446647;0,016347197;0,08334133
541;0,076634862;0,012217417;0,015363091;0,076553716
542;0,057375557;0,008051856;0,010426907;0,053586494
543;0,027863436;0,002326855;0,003469427;0,025787517
544;0,001622931;0;0;0,001198385
545;0;0;0;0
546;0;0;0;0
547;0;0;0;0
548;0;0;0;0
549;0;0;0;0
550;0;0;0;0
551;0;0;0;0
552;0;0;0;0
553;0;0;0;0
554;0;0;0;0
555;0;0;0;0
556;0;0;0;0
557;0;0;0;0
558;0;0;0;0
559;0;0;0;0
560;0;0;0;0,003482784
561;0,24762645;0,016916954;0,017081148;0,233979948
562;0,333806448;0,038273246;0,037529448;0,366026487
563;0,561415105;0,054233013;0,052138385;0,559423776
564;0,565067882;0,059706158;0,057630793;0,567384277
565;0,313161158;0,054591548;0,053638745;0,307237737
566;0,340165698;0,040081575;0,040448297;0,320466711
567;0,118661294;0,020139872;0,021054632;0,127065087
568;0,003066661;0,001268937;0,001670838;0,001681958
569;0;0;0;0
570;0;0;0;0
571;0;0;0;0
572;0;0;0;0
573;0;0;0;0
574;0;0;0;0
575;0;0;0;0
576;0;0;0;0
577;0;0;0;0
578;0;0;0;0
579;0;0;0;0
580;0;0;0;0
581;0;0;0;0
582;0;0;0;0
583;0;0;0;0
584;0;0;0;0
585;0,045493776;0,164353745;0,004394432;0,036344041
586;0,081836878;0,207432427;0,057342087;0,070960176
587;0,147792485;0,326599618;0,134384605;0,143508841
588;0,155713978;0,399898342;0,315525711;0,150478974
589;0,327740961;0,381778934;0,343799211;0,317187158
590;0,234074818;0,208174299;0,496878711;0,226414342
591;0,182032749;0,099368278;0,281177092;0,177449803
592;0,004844516;0,001871464;0,037622462;0,003613795
593;0;0;0;0
594;0;0;0;0
595;0;0;0;0
596;0;0;0;0
597;0;0;0;0
598;0;0;0;0
599;0;0;0;0
600;0;0;0;0
601;0;0;0;0
602;0;0;0;0
603;0;0;0;0
604;0;0;0;0
605;0;0;0;0
606;0;0;0;0
607;0;0;0;0
608;0;0;0;0
609;0,154099966;0,067457894;0,14549102;0,155515327
610;0,319012342;0,111130362;0,298097369;0,313640329
611;0,337134158;0,261302329;0,314788895;0,291933158
612;0,300276513;0,274974355;0,355778487;0,269631237
613;0,495041487;0,484942776;0,295752079;0,506182816
614;0,441147987;0,340738776;0,187928961;0,450936079
615;0,289323;0,250582382;0,120220164;0,228201
616;0,035495311;0,008404553;0,002497709;0,026595318
617;0;0;0;0
618;0;0;0;0
619;0;0;0;0
620;0;0;0;0
621;0;0;0;0
622;0;0;0;0
623;0;0;0;0
624;0;0;0;0
625;0;0;0;0
626;0;0;0;0
627;0;0;0;0
628;0;0;0;0
629;0;0;0;0
630;0;0;0;0
631;0;0;0;0
632;0;0;0,011477866;0
633;0,008872322;0,222367394;0,26092429;0,009817926
634;0,025214992;0,400273974;0,443189882;0,024121567
635;0,037849698;0,494254106;0,539303408;0,035826584
