index;Wind_east;Wind_swest;Wind_north;Wind_middle
324;0,0002459;0;3,06E-05;0
325;0;0;0;0
326;0;0;0;0
327;0,000622952;0;0,000131148;0
328;0,00098361;0,000868855;0,00098361;0,000868855
329;0,00098361;0,00098361;0,00098361;0,00098361
330;0,001330433;0,00098361;0,001330433;0,00098361
331;0,01178425;0,01525675;0,0128465;0,0110075
332;0,0355905;0,05398925;0,03806925;0,03674125
333;0,038689;0,038689;0,038689;0,038689
334;0,038689;0,038689;0,038689;0,038689
335;0,038689;0,038689;0,038689;0,038689
336;0,038689;0,05016425;0,038689;0,038689
337;0,04863425;0,08459;0,0639345;0,07311475
338;0,0890175;0,13218;0,10270425;0,10270425
339;0,2089275;0,324485;0,28011;0,2980325
340;0,3239875;0,5759375;0,415735;0,5160675
341;0,39344;0,76721;0,56066;0,56066
342;0,42131;0,81041;0,595085;0,691475
343;0,56066;0,92944;0,76721;0,7637675
344;0,3731675;0,596675;0,518525;0,5013125
345;0,20003;0,32672;0,2666675;0,29865
346;0,0690875;0,09521975;0,090464;0,08237275
347;0,038689;0,038689;0,038689;0,0223115
348;0,03116425;0,02319675;0,038689;0,012131
349;0,04557425;0,05398925;0,04939925;0,04247575
350;0,1433625;0,19231;0,17145325;0,17127775
351;0,4116925;0,6466;0,60085;0,5714525
352;0,42967;0,77009;0,622625;0,5882
353;0,6771425;0,94596;0,825415;0,825415
354;0,9541725;0,9993875;0,99438;0,99438
355;0,99475;1;1;1
356;0,994915;1;1;1
357;0,9998375;1;1;1
358;0,9989525;1;1;1
359;0,9066975;0,9931;0,97425;0,96801
360;0,76721;0,9086875;0,8132875;0,7798825
361;0,76721;0,9388475;0,8766475;0,76721
362;0,59541;0,6680825;0,6907525;0,5535825
363;0,21916;0,1995675;0,2118025;0,15871
364;0,1049585;0,08459;0,08459;0,08459
365;0,155475;0,1244425;0,13116;0,0966665
366;0,2515425;0,2318275;0,2515425;0,1910375
367;0,2515425;0,204635;0,25494;0,15705
368;0,171325;0,1621475;0,1682675;0,128406
369;0,3531125;0,3446925;0,3505325;0,324115
370;0,3105475;0,3262275;0,33071;0,2926225
