;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east
638;0,024079;0,314285;0,4097075;0,02498225
639;0,014337975;0,1828;0,2326675;0,01145645
640;0,001727935;0,00803435;0,020722525;0,000881572
641;0;0;0;0
642;0;0;0;0
643;0;0;0;0
644;0;0;0;0
645;0;0;0;0
646;0;0;0;0
647;0;0;0;0
648;0;0;0;0
649;0;0;0;0
650;0;0;0;0
651;0;0;0;0
652;0;0;0;0
653;0;0;0;0
654;0;0;0;0
655;0;0;0;0
656;0,010943218;0;0;0,01243565
657;0,22211525;0;0;0,212076
658;0,3373425;0,0175513;0,005954075;0,3576
659;0,4567325;0,017218675;0,013139575;0,48501
660;0,5807375;0,013588775;0,01583525;0,6019425
661;0,5667325;0,43365;0,3616925;0,51655
662;0,42756;0,3718075;0,2756375;0,3914625
663;0,238595;0,224575;0,1526395;0,2196225
664;0,023313513;0,023882863;0,010366908;0,01283395
665;0;0;0;0
666;0;0;0;0
667;0;0;0;0
668;0;0;0;0
669;0;0;0;0
670;0;0;0;0
671;0;0;0;0
672;0;0;0;0
673;0;0;0;0
674;0;0;0;0
675;0;0;0;0
676;0;0;0;0
677;0;0;0;0
678;0;0;0;0
679;0;0;0;0
680;0;0;0;0
681;0;0,11456325;0,08396525;0
682;0,01048105;0,158316;0,1205775;0,006976875
683;0,0145135;0,23249075;0,300325;0,01420275
684;0,02566575;0,4676;0,31715;0,01475985
685;0,28089;0,459445;0,619875;0,3248975
686;0,22948;0,32162;0,436535;0,242025
687;0,149363;0,234115;0,272765;0,13613125
688;0,00979954;0,037686458;0,016000535;0,0067043
689;0;0;0;0
690;0;0;0;0
691;0;0;0;0
692;0;0;0;0
693;0;0;0;0
694;0;0;0;0
695;0;0;0;0
696;0;0;0;0
697;0;0;0;0
698;0;0;0;0
699;0;0;0;0
700;0;0;0;0
701;0;0;0;0
702;0;0;0;0
703;0;0;0;0
704;0;0;0;0
705;0;0,11410725;0,02383505;0
706;0,00539615;0,215534;0,095601;0,007262478
707;0,012311575;0,294575;0,077686;0,0138115
708;0,01541135;0,31565;0,054935;0,01691645
709;0,321815;0,298;0,334835;0,307695
710;0,231;0,159835;0,348695;0,2389945
711;0,132467;0,067096;0,30189;0,125582
712;0,009678685;0,002615103;0,0668123;0,007521595
713;0;0;0;0
714;0;0;0;0
715;0;0;0;0
716;0;0;0;0
717;0;0;0;0
718;0;0;0;0
719;0;0;0;0
720;0;0;0;0
721;0;0;0;0
722;0;0;0;0
723;0;0;0;0
724;0;0;0;0
725;0;0;0;0
726;0;0;0;0
727;0;0;0;0
728;0;0,03484525;0,0150628;0,00550115
729;0,024383075;0,1943825;0,1521725;0,0187225
730;0,0629005;0,313185;0,2130415;0,04333225
731;0,08310775;0,5185475;0,277866;0,062455
732;0,09591475;0,51865;0,474145;0,10065275
733;0,0840135;0,4400575;0,477165;0,1015535
734;0,0522625;0,21685425;0,419935;0,06218525
735;0,02096225;0,09026675;0,26121;0,017909175
736;0,004042262;0,00404149;0,054830025;0,001459673
737;0;0;0;0
738;0;0;0;0
739;0;0;0;0
740;0;0;0;0
741;0;0;0;0
742;0;0;0;0
743;0;0;0;0
744;0;0;0;0
745;0;0;0;0
746;0;0;0;0
747;0;0;0;0
748;0;0;0;0
749;0;0;0;0
750;0;0;0;0
751;0;0;0;0
752;0,0106374;0,010476325;0,0636738;0
753;0,083589;0,21027625;0,1960975;0,0163736
754;0,1214555;0,3572325;0,23418525;0,035966
755;0,14779;0,4890375;0,298505;0,044826
756;0,3807425;0,575105;0,3811675;0,05115925
757;0,4345525;0,551265;0,429165;0,0442835
758;0,33365;0,385735;0,4172975;0,031715
759;0,2715925;0,1946235;0,30254;0,0173565
760;0,059235325;0,021694575;0,079335225;0,001860447
761;0;0;0;0
762;0;0;0;0
763;0;0;0;0
764;0;0;0;0
765;0;0;0;0
766;0;0;0;0
767;0;0;0;0
768;0;0;0;0
769;0;0;0;0
770;0;0;0;0
771;0;0;0;0
772;0;0;0;0
773;0;0;0;0
774;0;0;0;0
775;0;0;0;0
776;0,017179175;0,014928493;0,057946;0
777;0,05272775;0,23215;0,20768;0,014684375
778;0,12712725;0,37722;0,3663725;0,0554965
779;0,0954825;0,502605;0,483145;0,11165625
780;0,09422075;0,5701825;0,5699875;0,1803125
781;0,0676235;0,53862;0,558225;0,31946
782;0,06116225;0,4007675;0,43012;0,3432375
783;0,044777;0,2233115;0,2906125;0,15336375
784;0,006878338;0,0248568;0,077878075;0,021445275
785;0;0;0;0
786;0;0;0;0
787;0;0;0;0
788;0;0;0;0
789;0;0;0;0
790;0;0;0;0
791;0;0;0;0
792;0;0;0;0
793;0;0;0;0
794;0;0;0;0
795;0;0;0;0
796;0;0;0;0
797;0;0;0;0
798;0;0;0;0
799;0;0;0;0
800;0,071337;0,052286925;0;0,01211855
801;0,0965825;0,2134975;0,027310275;0,0819105
802;0,17764;0,3516375;0,0580565;0,1969375
803;0,38541;0,51539;0,07903925;0,2723275
804;0,271105;0,60634;0,07662125;0,261035
805;0,192665;0,471475;0,060875;0,2239675
806;0,03828225;0,36095;0,0420385;0,1958925
807;0,008825475;0,176587;0,0234405;0,078723
808;0,001370428;0,038042925;0,006064375;0,003056553
809;0;0;0;0
810;0;0;0;0
811;0;0;0;0
812;0;0;0;0
813;0;0;0;0
