;Hard_coal_2020;Hard_coal_2025;Hard_coal_2030;Hard_coal_2035;Hard_coal_2040;Hard_coal_2045;Hard_coal_2050
113;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
114;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
115;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
116;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
117;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
118;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
119;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
120;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
121;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
122;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
123;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
124;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
125;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
126;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
127;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
128;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
129;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
130;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
131;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
132;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
133;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
134;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
135;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
136;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
137;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
138;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
139;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
140;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
141;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
142;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
143;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
144;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
145;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
146;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
147;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
148;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
149;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
150;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
151;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
152;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
153;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
154;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
155;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
156;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
157;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
158;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
159;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
160;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
161;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
162;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
163;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
164;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
165;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
166;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
167;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
168;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
169;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
170;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
171;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
172;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
173;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
174;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
175;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
176;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
177;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
178;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
179;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
180;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
181;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
182;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
183;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
184;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
185;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
186;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
187;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
188;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
189;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
190;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
191;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
192;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
193;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
194;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
195;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
196;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
197;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
198;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
199;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
200;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
201;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
202;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
203;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
204;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
205;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
206;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
207;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
208;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
209;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
210;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
211;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
212;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
213;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
214;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
215;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
216;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
217;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
218;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
219;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
220;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
221;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
222;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
223;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
224;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
225;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
226;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
227;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
228;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
229;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
230;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
231;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
