id;hydrogen_2020;hydrogen_2025;hydrogen_2030;hydrogen_2035;hydrogen_2040;hydrogen_2045;hydrogen_2050
547;161,2;151;135;118;100;100;100
548;161,2;151;135;118;100;100;100
549;161,2;151;135;118;100;100;100
550;161,2;151;135;118;100;100;100
551;161,2;151;135;118;100;100;100
552;161,2;151;135;118;100;100;100
553;161,2;151;135;118;100;100;100
554;161,2;151;135;118;100;100;100
555;161,2;151;135;118;100;100;100
556;161,2;151;135;118;100;100;100
557;161,2;151;135;118;100;100;100
558;161,2;151;135;118;100;100;100
559;161,2;151;135;118;100;100;100
560;161,2;151;135;118;100;100;100
561;161,2;151;135;118;100;100;100
562;161,2;151;135;118;100;100;100
563;161,2;151;135;118;100;100;100
564;161,2;151;135;118;100;100;100
565;161,2;151;135;118;100;100;100
566;161,2;151;135;118;100;100;100
567;161,2;151;135;118;100;100;100
568;161,2;151;135;118;100;100;100
569;161,2;151;135;118;100;100;100
570;161,2;151;135;118;100;100;100
571;161,2;151;135;118;100;100;100
572;161,2;151;135;118;100;100;100
573;161,2;151;135;118;100;100;100
574;161,2;151;135;118;100;100;100
575;161,2;151;135;118;100;100;100
576;161,2;151;135;118;100;100;100
577;161,2;151;135;118;100;100;100
578;161,2;151;135;118;100;100;100
579;161,2;151;135;118;100;100;100
580;161,2;151;135;118;100;100;100
581;161,2;151;135;118;100;100;100
582;161,2;151;135;118;100;100;100
583;161,2;151;135;118;100;100;100
584;161,2;151;135;118;100;100;100
585;161,2;151;135;118;100;100;100
586;161,2;151;135;118;100;100;100
587;161,2;151;135;118;100;100;100
588;161,2;151;135;118;100;100;100
589;161,2;151;135;118;100;100;100
590;161,2;151;135;118;100;100;100
591;161,2;151;135;118;100;100;100
592;161,2;151;135;118;100;100;100
593;161,2;151;135;118;100;100;100
594;161,2;151;135;118;100;100;100
595;161,2;151;135;118;100;100;100
596;161,2;151;135;118;100;100;100
597;161,2;151;135;118;100;100;100
598;161,2;151;135;118;100;100;100
599;161,2;151;135;118;100;100;100
600;161,2;151;135;118;100;100;100
601;161,2;151;135;118;100;100;100
602;161,2;151;135;118;100;100;100
603;161,2;151;135;118;100;100;100
604;161,2;151;135;118;100;100;100
605;161,2;151;135;118;100;100;100
606;161,2;151;135;118;100;100;100
607;161,2;151;135;118;100;100;100
608;161,2;151;135;118;100;100;100
609;161,2;151;135;118;100;100;100
610;161,2;151;135;118;100;100;100
611;161,2;151;135;118;100;100;100
612;161,2;151;135;118;100;100;100
613;161,2;151;135;118;100;100;100
614;161,2;151;135;118;100;100;100
615;161,2;151;135;118;100;100;100
616;161,2;151;135;118;100;100;100
617;161,2;151;135;118;100;100;100
618;161,2;151;135;118;100;100;100
619;161,2;151;135;118;100;100;100
620;161,2;151;135;118;100;100;100
621;161,2;151;135;118;100;100;100
622;161,2;151;135;118;100;100;100
623;161,2;151;135;118;100;100;100
624;161,2;151;135;118;100;100;100
625;161,2;151;135;118;100;100;100
626;161,2;151;135;118;100;100;100
627;161,2;151;135;118;100;100;100
628;161,2;151;135;118;100;100;100
629;161,2;151;135;118;100;100;100
630;161,2;151;135;118;100;100;100
631;161,2;151;135;118;100;100;100
632;161,2;151;135;118;100;100;100
633;161,2;151;135;118;100;100;100
634;161,2;151;135;118;100;100;100
635;161,2;151;135;118;100;100;100
636;161,2;151;135;118;100;100;100
637;161,2;151;135;118;100;100;100
638;161,2;151;135;118;100;100;100
639;161,2;151;135;118;100;100;100
